recipe_id,allergy_id
1,1
1,2
2,1
3,1
3,4
5,3
6,1
6,7
7,1
8,1
8,2
8,7
12,7
13,1
13,2
13,7
13,8
15,1
15,7
16,1
16,3
16,7
17,5
17,7
18,1
18,7
19,6
19,7
19,9
20,1
22,5
22,6
22,7
22,8
25,1
25,2
27,1
27,2
28,1
29,1
30,1
31,1
32,1
32,7
34,1
34,7
37,1
39,1
39,7
40,1
40,2
40,7
41,1
41,2
41,7
42,1
44,1
45,4
46,1
46,2
46,7
46,9
47,1
47,3
47,5
47,7
47,8
48,1
49,1
49,7
51,1
51,2
52,1
52,7
52,9
53,1
53,2
53,7
55,1
56,1
57,1
57,8
58,1
58,7
59,1
59,9
60,5
60,6
60,7
61,1
62,1
63,1
63,2
63,7
64,1
65,1
65,2
66,1
66,2
66,7
68,1
68,2
68,7
69,1
69,7
70,2
70,7
70,9
71,1
72,1
72,7
74,1
74,2
75,1
75,2
75,3
75,7
77,1
81,1
82,1
82,7
83,1
83,4
83,7
84,1
86,1
87,1
88,1
89,1
89,2
89,7
90,1
90,7
91,6
91,9
92,9
94,5
94,6
94,7
95,1
97,2
97,3
97,9
98,5
98,6
98,7
98,8
99,1
100,2
100,4
100,5
100,6
100,7
101,1
101,3
103,1
103,7
104,9
105,1
106,1
106,9
107,1
108,1
108,7
110,7
112,1
112,2
112,5
112,7
113,1
113,2
113,5
113,6
113,7
114,1
114,2
114,7
115,1
115,7
116,1
116,5
116,7
118,1
118,2
119,1
119,2
120,7
121,2
121,4
121,5
121,7
123,1
124,5
125,2
125,9
126,3
126,5
126,6
126,7
126,8
127,1
127,9
128,1
128,2
129,1
129,2
129,7
129,9
130,3
131,5
131,7
133,1
133,3
133,7
134,6
135,3
135,8
136,1
136,5
136,7
137,1
138,1
138,2
138,7
139,6
139,7
140,9
141,1
141,2
141,7
141,9
143,2
143,7
144,1
145,1
145,2
145,7
145,9
146,1
146,7
147,2
147,7
148,1
148,7
148,9
149,1
152,7
152,9
153,1
153,2
153,7
153,9
154,1
154,2
154,7
155,1
157,1
157,2
157,7
158,7
159,1
159,7
160,1
160,4
161,1
161,2
161,7
162,1
162,2
162,7
162,9
163,1
163,2
163,3
163,7
164,1
164,2
164,7
165,1
167,1
167,7
168,5
168,6
168,7
168,8
168,9
169,1
169,7
169,9
170,1
170,7
171,1
172,1
172,2
173,1
173,7
173,9
174,1
175,1
175,2
175,7
176,1
176,2
176,7
177,1
177,7
177,9
178,1
178,2
178,7
179,1
179,2
179,7
181,9
182,1
182,3
183,4
184,1
185,3
185,6
186,7
187,2
187,5
187,6
187,7
188,2
188,4
189,1
189,4
189,7
190,1
190,2
190,7
190,9
191,1
191,3
191,7
192,1
192,7
193,1
193,4
194,1
194,3
194,7
195,3
196,1
196,2
196,7
197,1
197,2
197,7
198,9
199,9
200,1
200,2
200,7
201,1
201,7
202,1
202,2
202,8
203,1
203,2
203,7
203,9
204,2
204,7
204,9
205,1
205,7
205,9
206,1
206,2
206,7
207,1
207,2
207,7
208,1
209,1
210,1
211,1
211,2
211,7
212,1
212,9
213,1
213,2
213,7
213,9
214,1
214,9
215,1
215,7
216,1
216,7
217,7
218,7
218,9
219,1
219,7
220,1
220,2
220,9
221,1
221,2
221,6
221,7
222,1
222,2
222,7
223,1
223,2
223,7
224,1
224,2
224,7
225,1
225,2
225,7
226,1
226,7
227,2
228,1
228,2
228,7
228,9
229,1
232,1
232,2
232,7
233,1
233,7
233,8
234,2
234,7
234,9
235,1
235,2
235,7
235,9
236,1
236,2
236,7
237,1
237,2
237,9
238,1
238,2
238,7
239,1
239,2
239,7
240,1
241,1
241,3
242,1
242,2
242,7
243,1
243,7
244,1
245,1
245,2
245,4
245,7
248,1
248,7
249,2
249,5
249,7
250,1
250,2
250,7
252,6
252,7
253,2
254,1
254,3
254,9
255,1
255,2
255,9
256,1
256,5
256,7
257,1
257,2
257,7
258,2
258,7
258,9
259,1
259,7
260,1
260,7
263,1
263,9
264,1
264,2
264,7
265,1
266,2
266,7
267,1
267,2
268,1
268,7
269,1
269,2
269,7
269,9
271,1
271,4
271,7
272,3
272,4
273,1
273,7
275,3
276,7
277,5
277,6
277,7
278,7
279,1
279,7
279,9
280,2
280,7
282,2
282,7
283,1
283,2
283,7
284,1
285,1
290,1
290,7
291,1
292,1
293,1
293,4
293,7
294,5
294,9
295,3
301,7
302,1
303,1
303,2
303,7
305,1
305,7
306,1
306,2
306,7
310,1
310,2
310,7
311,1
312,1
312,7
313,1
313,3
313,7
313,9
314,6
318,1
318,2
318,7
319,2
319,5
319,6
319,7
320,1
320,2
321,1
321,2
323,1
323,7
324,1
327,1
327,9
328,2
328,9
329,1
329,9
330,1
330,7
333,1
333,7
334,2
335,5
335,6
335,7
336,1
336,2
337,1
337,7
339,9
340,2
340,6
341,9
343,1
343,2
343,7
344,1
344,7
347,1
347,2
348,1
350,1
350,2
350,7
351,1
351,2
351,7
351,9
352,4
353,1
353,2
354,1
354,2
354,7
356,1
357,4
358,1
358,2
359,1
359,6
360,7
363,6
364,5
364,6
364,7
365,1
366,1
366,2
366,7
367,1
367,2
367,7
368,1
368,2
368,7
368,9
369,1
369,2
369,7
372,1
372,9
373,2
373,7
374,1
375,1
375,3
375,9
376,1
377,1
377,2
377,7
378,3
378,5
378,7
380,3
381,1
381,3
382,7
382,9
383,1
383,2
383,7
383,9
384,1
384,7
384,9
385,1
385,2
385,7
387,1
387,8
388,1
388,9
390,1
391,2
391,5
391,6
391,7
392,9
393,1
393,2
393,7
393,9
394,3
394,6
394,7
396,1
396,4
396,7
397,1
397,2
397,7
400,2
401,1
402,1
402,7
404,6
404,9
405,1
405,7
406,1
407,3
408,7
409,1
409,9
410,2
410,7
410,9
411,1
411,2
411,3
411,6
411,7
412,1
412,2
415,1
415,9
421,1
421,2
422,1
422,7
422,9
423,9
426,1
427,1
427,7
429,9
430,1
430,2
430,7
431,7
432,6
432,7
433,1
433,2
433,7
434,7
435,9
436,3
436,5
436,6
436,7
439,2
440,1
440,2
440,7
440,9
441,1
441,2
441,8
442,1
442,7
445,1
446,4
447,1
447,7
448,1
448,2
448,7
449,1
450,1
451,1
452,1
453,2
453,7
453,9
454,2
455,1
455,2
455,9
456,1
456,2
456,7
457,3
458,1
458,2
458,7
459,9
460,1
460,2
461,1
461,2
461,3
462,1
462,3
463,1
463,7
464,1
465,9
466,9
467,1
467,7
467,9
468,1
469,2
469,9
471,1
471,2
472,1
472,7
473,2
473,9
474,1
475,1
475,7
475,9
477,2
480,2
482,1
482,2
483,2
483,3
483,4
483,5
483,7
484,1
484,9
485,1
486,1
486,2
488,9
490,1
490,7
491,1
491,5
492,1
492,2
492,9
493,1
493,7
494,1
495,1
495,9
496,1
497,1
497,2
497,7
498,9
500,2
501,3
501,6
501,7
501,8
502,1
503,1
503,6
504,1
504,7
506,5
506,6
506,7
507,1
508,1
508,9
509,7
509,9
510,1
511,1
512,3
513,6
513,8
514,1
514,7
515,1
515,8
516,1
517,1
517,4
518,1
518,2
518,7
519,1
520,1
520,2
522,5
522,6
522,7
524,1
524,7
524,9
525,4
526,5
526,6
527,3
527,4
527,5
527,7
529,2
531,1
532,9
533,9
535,1
536,5
536,7
538,3
541,9
542,9
543,3
544,1
546,1
546,2
546,7
546,9
547,1
548,1
551,1
551,4
552,1
552,2
552,3
552,7
553,1
554,1
554,2
554,7
554,9
555,1
555,3
555,7
556,2
556,6
556,9
557,1
557,7
558,1
558,9
561,1
561,2
561,7
561,9
563,3
564,2
565,9
566,1
566,9
568,1
568,7
569,1
569,2
569,7
569,9
570,1
570,2
570,7
571,1
571,2
571,7
572,1
573,1
573,2
574,1
574,2
574,7
575,1
575,3
575,9
577,1
577,2
577,7
578,1
578,2
578,7
579,1
579,2
579,7
579,9
580,1
580,7
581,1
581,2
581,7
581,8
581,9
582,1
583,1
583,2
583,7
584,6
584,9
585,1
585,7
586,1
586,7
586,9
587,9
592,9
593,1
593,7
594,7
595,1
596,1
596,7
596,9
598,1
598,2
598,7
599,7
600,1
600,7
601,1
601,2
601,9
604,1
604,2
604,7
605,1
605,2
605,7
606,1
606,2
606,7
607,2
607,3
608,1
609,2
610,1
611,1
611,3
612,1
612,9
613,1
613,2
613,7
613,9
614,1
614,7
616,1
617,1
618,1
618,7
618,9
620,1
620,2
621,1
621,7
622,1
622,7
623,6
626,1
626,2
626,7
627,1
627,3
627,4
628,3
628,4
629,1
630,6
630,7
631,1
631,9
632,1
632,3
632,7
633,1
633,2
633,7
633,9
634,1
634,2
634,7
635,1
635,2
635,7
636,1
636,7
637,1
637,2
638,1
638,7
640,1
640,2
640,7
640,9
641,7
642,1
642,3
643,1
643,7
644,1
644,7
645,1
647,9
648,1
648,7
649,1
649,6
649,7
650,5
650,6
650,7
652,9
653,1
653,5
653,6
653,7
654,1
654,2
654,4
654,7
656,1
656,7
658,1
658,2
658,7
659,3
660,2
660,3
660,7
661,1
661,5
661,7
663,1
663,7
664,1
665,1
666,1
666,2
666,7
667,1
667,9
669,6
670,1
670,8
671,1
671,2
671,7
674,1
678,9
680,1
680,2
680,7
681,1
681,2
682,1
683,1
683,7
684,2
684,3
684,9
685,1
686,3
686,5
686,6
686,7
687,1
689,2
691,3
692,8
693,3
693,7
694,7
694,9
695,1
695,7
695,9
696,1
696,7
697,1
697,7
698,1
698,7
700,9
701,6
702,7
702,9
704,3
704,7
704,9
708,1
708,4
708,7
709,1
709,7
713,6
713,7
714,2
714,7
715,1
715,2
715,7
716,1
716,9
717,1
717,2
718,5
718,6
719,2
719,7
720,4
720,5
720,6
720,7
720,8
721,1
721,2
721,7
721,8
722,1
722,9
723,1
723,7
724,1
724,7
725,1
725,3
725,5
725,7
725,8
726,1
726,2
727,1
729,1
729,2
729,7
733,1
733,9
734,1
734,7
735,3
737,1
738,1
739,1
739,3
739,5
739,7
740,1
740,9
742,1
743,1
743,2
743,7
744,1
744,7
745,1
745,2
745,7
746,1
746,2
747,1
747,7
751,1
752,1
752,2
754,1
754,7
754,9
755,4
755,7
757,4
760,1
760,2
760,7
761,1
761,8
762,1
762,2
762,7
763,1
763,6
764,4
765,7
766,3
767,7
767,8
767,9
768,1
768,9
769,2
770,1
770,3
770,7
771,1
771,7
772,1
774,1
774,7
775,2
777,1
777,2
778,1
778,7
779,2
780,4
781,1
781,2
781,7
781,9
782,9
783,7
784,1
784,2
784,7
785,7
785,9
786,1
786,7
787,1
787,2
788,3
788,4
789,1
789,3
790,3
791,3
791,4
791,8
792,1
792,2
792,9
793,1
793,2
793,7
794,1
794,2
794,7
794,9
795,1
796,2
796,3
796,4
796,5
796,7
797,1
798,1
798,3
798,5
798,7
799,1
800,1
801,4
803,1
803,6
804,1
805,1
805,2
807,3
807,7
808,1
808,7
809,7
809,9
810,7
811,1
811,2
811,7
815,1
816,1
816,2
816,9
817,1
817,9
818,1
818,9
819,3
820,1
820,2
822,5
822,6
822,7
824,2
825,1
825,3
825,7
828,1
828,2
828,7
828,9
829,1
832,3
832,7
833,9
834,7
836,1
836,2
836,7
837,1
837,2
837,7
838,1
839,1
840,1
840,2
841,1
841,5
841,7
841,8
842,1
842,2
842,7
843,2
844,2
845,2
845,9
846,2
846,7
846,9
848,1
849,1
849,3
849,4
851,1
851,7
854,1
854,6
854,7
855,1
855,7
856,1
857,7
857,9
858,1
858,2
858,7
859,7
860,4
861,1
862,1
862,2
862,7
863,1
863,2
863,7
863,9
864,1
864,2
864,7
866,1
866,3
867,1
867,2
867,7
868,1
868,2
868,7
870,1
870,2
870,7
871,1
871,7
872,1
872,2
872,7
873,7
874,1
875,1
876,1
876,2
876,7
877,1
877,2
877,7
878,7
879,9
881,5
881,6
881,7
882,1
882,2
882,7
883,1
884,1
884,9
885,1
885,2
886,1
886,7
887,1
887,7
889,9
890,1
890,7
891,2
894,1
895,1
895,3
895,7
896,4
896,5
896,6
896,7
897,1
897,2
898,1
898,2
898,7
899,2
899,3
899,5
899,7
900,2
900,5
900,7
902,3
902,4
902,7
903,2
904,1
904,2
904,7
905,7
906,1
906,2
906,9
907,1
907,2
907,7
909,1
910,1
912,1
912,9
913,2
913,4
915,1
915,7
916,3
918,1
918,7
919,1
919,2
919,7
920,1
921,1
921,2
921,9
922,1
923,1
924,1
924,7
925,9
926,1
927,1
927,9
928,1
928,2
928,7
929,1
930,1
930,7
931,1
931,2
931,7
933,1
933,2
933,7
934,1
934,2
934,7
935,1
935,2
935,7
936,1
936,2
936,7
937,1
937,9
938,5
938,7
940,1
940,2
940,7
940,9
941,1
942,1
942,5
943,7
944,3
945,1
946,7
946,9
947,1
947,9
948,1
948,2
948,4
948,9
950,9
952,1
952,6
953,1
954,1
954,3
954,4
954,7
955,1
956,1
956,2
956,7
957,5
957,7
958,1
958,2
958,7
959,1
959,2
959,9
960,1
960,7
961,5
961,7
963,1
965,1
965,9
966,1
966,9
967,1
967,7
967,9
968,3
969,1
969,3
970,1
970,2
970,7
971,1
971,2
973,1
973,2
973,7
974,9
975,1
975,9
976,1
976,2
