recipe_id,ingredient_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
2,13
2,2
2,14
2,4
2,5
2,11
2,15
2,16
2,17
2,18
2,19
2,20
3,21
3,22
3,2
3,3
3,4
3,23
3,5
3,6
3,8
3,9
3,24
3,25
3,26
4,22
4,27
4,28
4,29
4,19
5,30
5,31
5,19
5,32
6,33
6,9
6,34
6,28
6,29
6,19
7,35
8,36
8,37
8,9
8,34
8,28
8,29
8,12
9,38
9,39
9,34
10,40
10,41
10,42
10,43
10,44
10,45
11,38
11,40
11,45
12,46
12,19
13,47
13,48
13,9
13,49
13,28
13,29
13,12
14,44
14,34
14,43
14,28
14,19
15,13
15,2
15,14
15,4
15,50
15,51
15,52
15,53
15,19
16,54
16,55
16,56
16,9
16,26
17,22
17,57
17,58
17,59
17,60
17,61
17,62
17,63
17,64
17,65
18,66
18,2
18,3
18,6
18,51
18,8
18,9
18,34
18,10
18,53
19,21
19,67
19,68
19,3
19,34
19,69
19,70
19,71
19,26
20,72
20,47
20,2
20,14
20,4
20,50
20,5
20,9
20,16
21,73
22,2
22,28
22,74
22,58
22,59
22,6
22,60
22,61
22,8
22,62
22,69
22,49
22,75
22,64
22,19
22,76
23,40
23,77
23,78
23,57
23,4
23,27
23,59
23,6
23,8
23,15
23,16
23,79
23,80
23,19
23,20
23,26
24,28
24,81
24,19
25,82
25,83
25,4
25,6
25,8
25,9
25,18
25,26
26,84
26,3
26,6
26,8
26,19
27,18
27,85
28,86
28,87
28,78
28,6
28,88
28,34
28,89
28,90
28,3
28,91
28,8
28,18
28,92
28,64
28,93
28,26
28,84
28,9
28,94
28,70
28,53
28,95
28,59
28,96
29,26
29,3
29,4
29,59
29,6
29,8
29,88
29,34
29,97
29,89
29,53
29,98
30,6
30,99
30,8
30,34
30,26
31,100
31,99
31,19
32,101
32,26
32,3
32,102
32,103
32,6
32,8
32,42
32,34
32,104
32,25
32,96
33,77
33,85
33,3
33,6
33,10
33,26
34,86
34,2
34,4
34,6
34,51
34,8
34,9
34,34
34,53
34,94
34,19
34,20
34,26
35,105
35,77
35,90
35,26
35,106
35,96
35,3
35,50
35,100
35,34
35,10
35,63
35,24
35,20
35,98
36,107
36,67
36,4
36,6
36,8
36,26
37,3
37,6
37,8
37,34
37,89
37,80
37,26
38,78
38,3
38,6
38,8
38,10
38,94
38,80
38,26
39,22
39,108
39,109
39,110
39,111
39,9
39,112
39,71
40,77
40,113
40,114
40,99
40,115
40,91
40,97
40,12
41,26
41,116
41,3
41,59
41,117
41,9
41,118
41,93
41,12
42,119
42,40
42,120
42,121
42,48
42,122
42,42
42,28
43,72
43,22
43,77
43,25
43,114
43,14
43,57
43,27
43,6
43,73
43,8
43,69
43,29
43,123
43,124
43,64
43,20
43,98
44,82
44,14
44,62
44,94
44,26
45,125
45,86
45,26
45,3
45,4
45,23
45,59
45,6
45,8
45,34
45,10
45,28
45,96
46,126
46,127
46,48
46,9
46,28
46,29
46,117
46,12
47,114
47,6
47,60
47,62
47,19
47,90
47,128
47,100
47,61
47,8
47,49
47,26
47,2
47,84
47,102
47,9
47,69
47,53
47,22
47,57
47,59
48,4
48,9
48,25
49,28
49,48
49,9
50,3
50,6
50,8
50,62
50,98
51,129
51,9
51,28
51,19
51,12
52,119
52,130
52,121
52,131
52,48
52,9
52,28
53,105
53,132
53,133
53,48
53,111
53,12
54,74
55,4
55,2
55,9
55,19
56,87
56,6
56,34
56,10
56,19
56,3
56,4
56,134
56,56
56,100
56,8
56,42
56,24
56,64
56,26
56,125
56,2
56,135
56,28
56,25
57,6
57,136
57,8
57,9
57,62
57,49
57,28
57,19
57,25
57,26
58,129
58,3
58,55
58,59
58,6
58,91
58,8
58,137
58,138
58,53
58,25
58,98
59,101
59,74
59,87
59,139
59,3
59,140
59,103
59,59
59,34
59,26
60,90
60,2
60,57
60,6
60,60
60,61
60,8
60,62
60,75
61,48
61,141
61,127
62,6
62,99
62,8
62,142
62,25
62,96
63,129
63,4
63,133
63,9
63,28
63,12
64,87
64,3
64,56
64,6
64,100
64,91
64,8
64,34
64,10
64,26
65,119
65,48
65,28
65,29
65,12
66,94
66,48
66,9
66,17
66,28
66,12
67,143
67,59
67,51
67,28
67,53
67,26
68,13
68,36
68,144
68,111
68,9
68,12
69,107
69,145
69,91
69,9
69,44
69,117
70,146
70,14
70,6
70,34
70,10
70,7
70,77
70,3
70,8
70,104
70,26
70,2
70,130
70,147
70,63
70,20
70,12
70,83
70,103
70,96
71,73
71,9
71,34
71,104
71,26
72,2
72,3
72,6
72,73
72,51
72,8
72,9
72,34
72,53
72,94
72,19
72,20
72,31
73,125
73,3
73,6
73,73
73,8
73,88
73,34
73,10
73,19
73,20
74,26
74,3
74,148
74,6
74,73
74,8
74,111
74,34
74,69
74,28
74,104
74,12
75,54
75,86
75,26
75,55
75,3
75,6
75,8
75,34
75,117
75,12
76,107
76,78
76,6
76,8
76,80
76,53
76,26
77,28
77,29
77,48
78,144
78,82
78,149
78,78
78,14
78,3
78,20
78,15
78,123
78,150
78,71
78,26
79,28
79,34
80,59
80,6
80,8
80,142
80,19
80,96
81,121
81,48
81,122
81,34
81,28
81,19
82,151
82,3
82,4
82,99
82,10
82,15
82,70
82,80
82,117
83,3
83,4
83,121
83,6
83,51
83,8
83,9
83,88
83,34
83,69
83,10
83,152
83,53
83,25
83,20
83,26
84,89
84,62
84,31
85,39
85,40
85,153
85,94
85,8
85,34
85,154
85,43
85,28
85,44
86,67
86,2
86,77
86,14
86,4
86,27
86,6
86,115
86,8
86,17
86,123
86,25
86,26
87,101
87,116
87,78
87,91
87,155
87,156
88,2
88,26
88,55
88,3
88,110
88,6
88,25
88,98
89,28
89,9
89,127
89,12
90,2
90,82
90,4
90,52
90,91
90,9
90,29
90,117
90,157
90,26
91,40
91,90
91,127
91,158
91,15
91,75
92,67
92,2
92,130
92,159
92,90
92,160
92,3
92,161
92,162
92,163
92,15
92,24
92,26
93,125
93,67
93,80
93,2
93,77
93,57
93,4
93,6
93,100
93,8
93,10
93,15
93,70
93,24
93,26
94,72
94,144
94,77
94,40
94,105
94,114
94,102
94,27
94,6
94,73
94,60
94,8
94,62
94,61
94,75
94,29
95,26
95,108
95,55
95,3
95,4
95,6
95,51
95,8
95,18
95,94
95,53
95,31
96,57
96,8
96,15
96,164
97,119
97,40
97,130
97,78
97,3
97,165
97,6
97,8
97,88
97,166
97,26
98,119
98,22
98,2
98,28
98,129
98,57
98,4
98,6
98,60
98,61
98,51
98,62
98,49
98,53
98,75
98,64
98,19
98,26
99,78
99,6
99,73
99,8
99,9
99,26
100,22
100,2
100,28
100,26
100,129
100,23
100,60
100,61
100,62
100,75
100,12
100,64
100,53
100,20
100,31
101,146
101,26
101,14
101,3
101,6
101,128
101,51
101,8
101,31
101,99
101,10
101,167
101,53
101,25
101,96
102,28
102,34
102,53
102,168
103,36
103,77
103,63
103,115
103,91
103,111
103,9
103,62
103,28
103,29
103,64
103,26
104,40
104,90
104,130
104,3
104,4
104,59
104,6
104,8
104,10
104,94
104,93
104,20
104,26
105,86
105,2
105,106
105,4
105,51
105,34
105,169
105,16
105,53
105,26
106,126
106,90
106,40
106,149
106,22
106,87
106,3
106,78
106,59
106,6
106,51
106,8
106,10
106,92
106,53
106,26
107,1
107,2
107,3
107,4
107,6
107,7
107,8
107,9
107,88
107,10
107,169
107,18
107,94
107,26
108,90
108,3
108,46
108,9
108,29
109,119
109,146
109,3
109,34
109,26
110,67
110,26
110,6
110,73
110,51
110,8
110,10
110,94
110,53
110,31
111,125
111,1
111,88
112,165
112,6
112,60
112,62
112,170
112,77
112,37
112,8
112,61
112,26
112,129
112,46
112,69
112,28
112,20
112,31
112,1
112,22
112,57
112,59
113,171
113,28
113,14
113,127
113,48
113,122
113,9
113,75
113,123
113,12
114,47
114,172
114,3
114,99
114,91
114,112
114,17
114,15
114,28
114,12
115,57
115,147
115,48
115,122
115,9
115,34
115,15
115,16
115,28
116,86
116,1
116,2
116,4
116,41
116,6
116,60
116,61
116,8
116,9
116,62
116,51
116,28
116,53
116,26
117,86
117,40
117,57
117,3
117,59
117,173
117,73
117,15
117,28
117,53
117,26
118,2
118,26
118,85
118,3
118,4
118,5
118,51
118,52
118,7
118,9
118,53
118,12
119,101
119,26
119,174
119,3
119,4
119,55
119,147
119,94
119,91
119,34
119,169
119,11
119,18
119,12
120,22
120,77
120,90
120,114
120,175
120,57
120,58
120,27
120,6
120,100
120,8
120,163
120,69
120,28
120,29
120,124
120,64
121,125
121,22
121,50
121,6
121,60
121,61
121,31
121,62
121,11
121,169
121,176
121,12
122,22
122,2
122,26
123,144
123,2
123,3
123,59
123,9
123,34
123,10
123,18
123,70
123,26
124,119
124,22
124,2
124,26
124,57
124,102
124,65
124,6
124,8
124,62
124,64
124,25
124,98
125,21
125,125
125,80
125,77
125,67
125,26
125,68
125,3
125,4
125,59
125,6
125,8
125,10
125,69
125,12
125,24
125,25
125,76
126,1
126,22
126,77
126,28
126,5
126,177
126,59
126,60
126,61
126,62
126,34
126,69
126,49
126,75
126,64
126,54
127,86
127,178
127,68
127,3
127,5
127,59
127,173
127,73
127,91
127,88
127,28
127,53
127,26
128,36
128,50
128,111
128,9
128,28
128,12
129,179
129,144
129,130
129,27
129,109
129,99
129,111
129,112
129,15
129,16
129,12
130,77
130,114
130,57
130,4
130,128
130,6
130,8
130,142
130,62
130,11
130,69
130,169
130,28
131,1
131,22
131,77
131,26
131,180
131,57
131,4
131,60
131,61
131,31
131,62
131,15
131,76
132,40
132,90
132,78
132,153
132,41
132,121
132,34
132,94
133,66
133,172
133,174
133,4
133,50
133,181
133,167
133,91
133,34
133,182
133,63
133,117
134,105
134,144
134,108
134,109
134,75
135,77
135,28
135,114
135,57
135,102
135,6
135,128
135,8
135,62
135,69
135,49
135,18
135,64
135,7
136,125
136,1
136,2
136,4
136,5
136,6
136,60
136,61
136,94
136,9
136,88
136,62
136,51
136,28
136,53
136,26
137,67
137,6
137,62
137,163
137,34
137,15
137,10
137,4
137,100
137,8
137,142
137,24
137,26
137,125
137,9
137,63
137,53
137,20
137,1
137,59
137,99
137,96
138,183
138,86
138,26
138,52
138,9
138,62
138,184
138,117
138,12
139,90
139,3
139,112
139,88
139,75
140,179
140,144
140,14
140,3
140,123
140,26
141,179
141,129
141,127
141,48
141,9
141,34
141,28
141,71
141,12
142,125
142,77
142,3
142,59
142,6
142,8
142,10
142,24
142,26
143,72
143,26
143,3
143,6
143,34
143,117
143,25
143,12
144,6
144,99
144,8
144,182
144,26
145,126
145,82
145,132
145,127
145,131
145,51
145,48
145,8
145,9
145,15
145,28
145,53
145,12
146,127
146,48
146,9
146,15
146,28
146,19
147,36
147,123
147,14
147,4
147,12
147,26
148,185
148,130
148,162
148,48
148,8
148,9
148,34
148,15
148,186
148,28
148,164
149,111
150,28
150,119
150,48
151,21
151,90
151,3
151,4
151,6
151,187
151,34
151,10
151,19
151,104
151,20
151,26
152,68
152,6
152,10
152,117
152,7
152,183
152,188
152,4
152,8
152,11
152,26
152,2
152,102
152,5
152,94
152,20
152,138
152,119
152,25
153,47
153,68
153,27
153,48
153,9
153,28
153,12
154,29
154,133
154,114
154,12
155,26
155,55
155,3
155,6
155,91
155,9
155,10
155,53
155,29
155,19
155,31
156,21
156,22
156,3
156,5
156,59
156,10
156,64
156,53
156,20
156,26
157,109
157,162
157,48
157,9
157,15
157,28
157,12
158,3
158,46
158,117
158,78
159,83
159,55
159,3
159,91
159,42
159,34
159,169
159,25
160,3
160,50
160,6
160,51
160,189
160,9
160,34
160,53
160,19
160,26
161,9
161,34
161,28
161,29
161,12
162,179
162,90
162,82
162,129
162,141
162,127
162,48
162,8
162,9
162,186
162,15
162,28
162,12
163,77
163,26
163,114
163,3
163,4
163,5
163,128
163,166
163,117
163,20
163,12
164,107
164,26
164,4
164,5
164,73
164,31
164,9
164,190
164,11
164,94
164,117
164,25
164,12
165,83
165,87
165,55
165,3
165,4
165,56
165,6
165,8
165,34
165,169
165,10
165,97
165,89
165,26
166,66
166,78
166,85
166,3
166,102
166,6
166,8
166,10
166,94
166,26
167,119
167,2
167,77
167,26
167,129
167,3
167,4
167,6
167,115
167,91
167,8
167,17
167,24
167,76
168,22
168,77
168,90
168,114
168,57
168,58
168,177
168,75
168,59
168,6
168,60
168,61
168,8
168,62
168,49
168,191
168,20
168,26
169,126
169,174
169,3
169,59
169,6
169,94
169,91
169,8
169,16
169,28
169,26
170,133
170,9
170,34
170,16
170,28
170,29
170,192
171,2
171,51
171,9
171,10
171,34
171,94
171,53
171,26
172,26
172,87
172,174
172,3
172,4
172,55
172,14
172,110
172,91
172,94
172,123
172,12
173,119
173,22
173,130
173,48
173,9
173,34
173,79
173,15
173,19
174,3
174,13
174,91
174,55
175,26
175,55
175,52
175,91
175,29
175,193
175,12
176,67
176,105
176,123
176,149
176,26
176,55
176,3
176,14
176,6
176,73
176,51
176,8
176,10
176,18
176,94
176,12
176,53
